dari_term,english_term,latin_term,abbreviation,preferred_form,forbidden_forms,accepted_variants,source_authority,usage_notes,first_appearance,decision,confidence
استئوپروژنیتور,Osteoprogenitor cell,,,استئوپروژنیتور (Osteoprogenitor cell),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),"Transliteration; the precursor cell of the osteoblast lineage, found in the periosteum, endosteum and bone marrow.",Ch08,COMMON AFGHAN TRANSLITERATION,MEDIUM
استئوئید,Osteoid,,,استئوئید (Osteoid),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; the unmineralised organic bone matrix secreted by osteoblasts.,Ch08,COMMON AFGHAN TRANSLITERATION,MEDIUM
لاملا,Lamella,,,لاملا (Lamella),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; a layer of bone matrix. Compact bone is built of lamellae.,Ch08,COMMON AFGHAN TRANSLITERATION,MEDIUM
اوستئون,Osteon (Haversian system),,,اوستئون (Osteon (Haversian system)),Haversian system,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration. The structural unit of compact bone: a central canal with its concentric lamellae. «دستگاه هاورس» is not used; the transliteration اوستئون is.,Ch08,COMMON AFGHAN TRANSLITERATION,MEDIUM
کانال هاورس,Haversian canal,,,کانال هاورس (Haversian canal),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Composed of the established transliteration کانال + the eponym Havers. The canal carries the vessels and nerves at the centre of each osteon.,Ch08,COMMON AFGHAN TRANSLITERATION,MEDIUM
کانال Volkmann,Volkmann canal,,,کانال Volkmann (Volkmann canal),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Eponym retained. These canals run transversely and connect Haversian canals to each other and to the marrow cavity.,Ch08,COMMON AFGHAN TRANSLITERATION,MEDIUM
کانالیکولوس,Canaliculus,,,کانالیکولوس (Canaliculus),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; the narrow channel housing an osteocyte process. Plural کانالیکول‌ها.,Ch08,COMMON AFGHAN TRANSLITERATION,MEDIUM
پریوست,Periosteum,,,پریوست (Periosteum),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration. The outer fibrous covering of bone; absent on articular surfaces.,Ch08,COMMON AFGHAN TRANSLITERATION,MEDIUM
اندوست,Endosteum,,,اندوست (Endosteum),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration. The inner lining of the marrow cavity and osteonal canals.,Ch08,COMMON AFGHAN TRANSLITERATION,MEDIUM
استخوان متراکم,Compact bone,,,استخوان متراکم (Compact bone),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Canonical استخوان + متراکم (already used in Ch5 for dense tissue).,Ch08,AFGHAN STANDARD,MEDIUM
استخوان اسفنجی,Spongy bone,,,استخوان اسفنجی (Spongy bone),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Canonical استخوان + the ordinary Dari word اسفنجی. Also called Cancellous bone.,Ch08,AFGHAN STANDARD,MEDIUM
استخوان‌سازی اندوکندراﻝ,Endochondral ossification,,,استخوان‌سازی اندوکندراﻝ (Endochondral ossification),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Assembled from the canonical استخوان‌سازی + the established transliteration اندوکندراﻝ.,Ch08,AFGHAN STANDARD,MEDIUM
استخوان‌سازی داخل‌غشایی,Intramembranous ossification,,,استخوان‌سازی داخل‌غشایی (Intramembranous ossification),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Assembled from canonical استخوان‌سازی + داخل + غشایی. The literal compound «اینتراممبرانوس» is NOT used.,Ch08,AFGHAN STANDARD,MEDIUM
صفحهٔ اپی‌فیز,Epiphyseal plate,,,صفحهٔ اپی‌فیز (Epiphyseal plate),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Composed of the established transliteration اپی‌فیز + صفحه. The growth plate of a long bone.,Ch08,AFGHAN STANDARD,MEDIUM
مغز استخوان,Bone marrow,,,مغز استخوان (Bone marrow),,,Afghan institutional usage: MoPH publications / Afghanistan health sector documents / Afghan hospitals and Afghan medical-faculty material,"Ordinary Dari compound, already used in Ch5 («مغز استخوان»).",Ch05; Ch08,AFGHAN STANDARD,MEDIUM
هادروکسی‌اپاتیت,Hydroxyapatite,,,هادروکسی‌اپاتیت (Hydroxyapatite),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; the calcium phosphate mineral of bone matrix.,Ch08,COMMON AFGHAN TRANSLITERATION,MEDIUM
اوستئوپتروز,Osteopetrosis,,,اوستئوپتروز (Osteopetrosis),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; the disease of failed osteoclast resorption.,Ch08,COMMON AFGHAN TRANSLITERATION,MEDIUM
اوستئوپوروز,Osteoporosis,,,اوستئوپوروز (Osteoporosis),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; the common disease of reduced bone mass and microarchitectural deterioration.,Ch08,COMMON AFGHAN TRANSLITERATION,MEDIUM
راشیتیسم,Rickets,,,راشیتیسم (Rickets),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; defective mineralisation of growing bone due to vitamin D deficiency.,Ch08,COMMON AFGHAN TRANSLITERATION,MEDIUM
استئومالاسی,Osteomalacia,,,استئومالاسی (Osteomalacia),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; defective mineralisation in adults.,Ch08,COMMON AFGHAN TRANSLITERATION,MEDIUM
خون,Blood,,,خون (Blood),,,Afghan institutional usage: MoPH publications / Afghanistan health sector documents / Afghan hospitals and Afghan medical-faculty material,Ordinary Dari word; the tissue is a specialized connective tissue with a fluid matrix (پلاسما) and formed elements.,Ch09,AFGHAN STANDARD,MEDIUM
پلاسما,Plasma,,,پلاسما (Plasma),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),"Transliteration. The fluid matrix of blood: water, پروتئین‌ها, electrolytes.",Ch09,COMMON AFGHAN TRANSLITERATION,MEDIUM
سیرم,Serum,,,سیرم (Serum),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; plasma without its clotting factors.,Ch09,COMMON AFGHAN TRANSLITERATION,MEDIUM
اریتروسیت,Erythrocyte (RBC),,RBC,اریتروسیت (Erythrocyte (RBC)),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration. The book keeps the international form; the descriptive Dari phrase «گویچهٔ سرخ» is the Iranian form and is NOT used. «کرویات سفید» (Afghan faculty histology text) is used only as an explanatory gloss.,Ch09,COMMON AFGHAN TRANSLITERATION,MEDIUM
لکوسیت,Leukocyte (WBC),,WBC,لکوسیت (Leukocyte (WBC)),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration. «گویچهٔ سفید» is the Iranian form and is NOT used; «کرویات سفید خون» is recorded in the Afghan faculty histology text and may serve as an explanatory gloss.,Ch09,COMMON AFGHAN TRANSLITERATION,MEDIUM
ترومبوسیت,Platelet (thrombocyte),,,ترومبوسیت (Platelet (thrombocyte)),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),"Transliteration. Cell fragments of megakaryocyte cytoplasm, not whole cells.",Ch09,COMMON AFGHAN TRANSLITERATION,MEDIUM
هموگلوبین,Hemoglobin,,Hb,هموگلوبین (Hemoglobin),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),"Transliteration; the oxygen-carrying protein of erythrocytes. The abbreviation Hb is part of the term (HbA, HbF), not a separate forbidden form.",Ch09,COMMON AFGHAN TRANSLITERATION,MEDIUM
هماتوکریت,Hematocrit,,Hct,هماتوکریت (Hematocrit),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; the packed cell volume of blood.,Ch09,COMMON AFGHAN TRANSLITERATION,MEDIUM
نوتروفیل,Neutrophil,,,نوتروفیل (Neutrophil),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration.,Ch09,COMMON AFGHAN TRANSLITERATION,MEDIUM
ائوزینوفیل,Eosinophil,,,ائوزینوفیل (Eosinophil),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration. «اسیدوفیل» is not used.,Ch09,COMMON AFGHAN TRANSLITERATION,MEDIUM
بازوفیل,Basophil,,,بازوفیل (Basophil),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration.,Ch09,COMMON AFGHAN TRANSLITERATION,MEDIUM
لنفوسیت,Lymphocyte,,,لنفوسیت (Lymphocyte),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration.,Ch09,COMMON AFGHAN TRANSLITERATION,MEDIUM
مونوسیت,Monocyte,,,مونوسیت (Monocyte),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration.,Ch09,COMMON AFGHAN TRANSLITERATION,MEDIUM
مگاکاریوسیت,Megakaryocyte,,,مگاکاریوسیت (Megakaryocyte),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; the giant polyploid marrow cell that sheds platelets.,Ch09,COMMON AFGHAN TRANSLITERATION,MEDIUM
هماتوپویزیس,Hemopoiesis,,,هماتوپویزیس (Hemopoiesis),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration. The book uses هماتوپویزیس (or خون‌سازی as the plain Dari gloss).,Ch09,COMMON AFGHAN TRANSLITERATION,MEDIUM
خون‌سازی,Hemopoiesis (Dari gloss),,,خون‌سازی (Hemopoiesis (Dari gloss)),,,Afghan institutional usage: MoPH publications / Afghanistan health sector documents / Afghan hospitals and Afghan medical-faculty material,Ordinary Dari gloss used alongside the transliteration هماتوپویزیس; already used in Ch5.,Ch05; Ch09,AFGHAN STANDARD,MEDIUM
اریتروپویزین,Erythropoietin,,EPO,اریتروپویزین (Erythropoietin),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; the kidney-derived hormone driving erythrocyte production.,Ch09,COMMON AFGHAN TRANSLITERATION,MEDIUM
هموستاز,Hemostasis,,,هموستاز (Hemostasis),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; the arrest of bleeding.,Ch09,COMMON AFGHAN TRANSLITERATION,MEDIUM
فیبرین,Fibrin,,,فیبرین (Fibrin),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; the polymerised product of fibrinogen that forms the clot.,Ch09,COMMON AFGHAN TRANSLITERATION,MEDIUM
فیبرینوژن,Fibrinogen,,,فیبرینوژن (Fibrinogen),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration.,Ch09,COMMON AFGHAN TRANSLITERATION,MEDIUM
رتیکولوسیت,Reticulocyte,,,رتیکولوسیت (Reticulocyte),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; the immature erythrocyte that still contains residual ribosomes.,Ch09,COMMON AFGHAN TRANSLITERATION,MEDIUM
آنمی,Anemia,,,آنمی (Anemia),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration.,Ch09,COMMON AFGHAN TRANSLITERATION,MEDIUM
لوسمی,Leukemia,,,لوسمی (Leukemia),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration.,Ch09,COMMON AFGHAN TRANSLITERATION,MEDIUM
ترومبوسیتوپنی,Thrombocytopenia,,,ترومبوسیتوپنی (Thrombocytopenia),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration.,Ch09,COMMON AFGHAN TRANSLITERATION,MEDIUM
هموفیلی,Hemophilia,,,هموفیلی (Hemophilia),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration.,Ch09,COMMON AFGHAN TRANSLITERATION,MEDIUM
عضله,Muscle,,,عضله (Muscle),,,Afghan institutional usage: MoPH publications / Afghanistan health sector documents / Afghan hospitals and Afghan medical-faculty material,"Ordinary Dari word. Muscle tissue is classified into skeletal, cardiac and smooth types.",Ch10,AFGHAN STANDARD,MEDIUM
میوسیت,Myocyte (muscle cell),,,میوسیت (Myocyte (muscle cell)),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),"Transliteration; the muscle cell, whether striated or smooth.",Ch10,COMMON AFGHAN TRANSLITERATION,MEDIUM
سارکولما,Sarcolemma,,,سارکولما (Sarcolemma),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; the muscle cell membrane plus its external lamina.,Ch10,COMMON AFGHAN TRANSLITERATION,MEDIUM
سارکوپلاسم,Sarcoplasm,,,سارکوپلاسم (Sarcoplasm),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; the cytoplasm of a muscle cell.,Ch10,COMMON AFGHAN TRANSLITERATION,MEDIUM
سارکومر,Sarcomere,,,سارکومر (Sarcomere),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; the contractile unit between two Z discs.,Ch10,COMMON AFGHAN TRANSLITERATION,MEDIUM
اکتین,Actin,,,اکتین (Actin),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; the thin filament protein.,Ch10,COMMON AFGHAN TRANSLITERATION,MEDIUM
میوزین,Myosin,,,میوزین (Myosin),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; the thick filament protein.,Ch10,COMMON AFGHAN TRANSLITERATION,MEDIUM
تروپومیوزین,Tropomyosin,,,تروپومیوزین (Tropomyosin),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration.,Ch10,COMMON AFGHAN TRANSLITERATION,MEDIUM
تروپونین,Troponin,,,تروپونین (Troponin),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; the calcium-binding regulatory complex on the thin filament.,Ch10,COMMON AFGHAN TRANSLITERATION,MEDIUM
دیسک Z,Z disc,,,دیسک Z (Z disc),Z line,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Composed of the established transliteration دیسک + the letter Z. The boundary of a sarcomere.,Ch10,COMMON AFGHAN TRANSLITERATION,MEDIUM
نوار A,A band,,,نوار A (A band),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Composed of نوار + the letter A. The dark band spanning the length of the thick filaments.,Ch10,COMMON AFGHAN TRANSLITERATION,MEDIUM
نوار I,I band,,,نوار I (I band),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),"Composed of نوار + the letter I. The light band containing only thin filaments, bisected by the Z disc.",Ch10,COMMON AFGHAN TRANSLITERATION,MEDIUM
نوار H,H band,,,نوار H (H band),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Composed of نوار + the letter H. The lighter central region of the A band containing only thick filaments.,Ch10,COMMON AFGHAN TRANSLITERATION,MEDIUM
خط M,M line,,,خط M (M line),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Composed of خط + the letter M. The midline of the H band where thick filaments are cross-linked.,Ch10,COMMON AFGHAN TRANSLITERATION,MEDIUM
تیوبول T,T tubule,,,تیوبول T (T tubule),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Composed of تیوبول + T. The invagination of the sarcolemma carrying the action potential inward.,Ch10,COMMON AFGHAN TRANSLITERATION,MEDIUM
شبکهٔ سارکوپلاسمی,Sarcoplasmic reticulum,,,شبکهٔ سارکوپلاسمی (Sarcoplasmic reticulum),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Composed of the canonical شبکهٔ + the established transliteration سارکوپلاسمی. Stores calcium.,Ch10,AFGHAN STANDARD,MEDIUM
دیاد,Diad,,,دیاد (Diad),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),"Transliteration; one T tubule plus one terminal cisterna, at the cardiac Z disc.",Ch10,COMMON AFGHAN TRANSLITERATION,MEDIUM
تریاد,Triad,,,تریاد (Triad),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),"Transliteration; one T tubule plus two terminal cisternae, at the skeletal A-I junction.",Ch10,COMMON AFGHAN TRANSLITERATION,MEDIUM
کاوئولا,Caveola,,,کاوئولا (Caveola),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; the surface invagination of smooth muscle that substitutes for T tubules.,Ch10,COMMON AFGHAN TRANSLITERATION,MEDIUM
عضله اسکلتی,Skeletal muscle,,,عضله اسکلتی (Skeletal muscle),,,Afghan institutional usage: MoPH publications / Afghanistan health sector documents / Afghan hospitals and Afghan medical-faculty material,Canonical عضله + the ordinary word اسکلتی (already used in Ch1 for skeletal system).,Ch10,AFGHAN STANDARD,MEDIUM
عضله قلبی,Cardiac muscle,,,عضله قلبی (Cardiac muscle),,,Afghan institutional usage: MoPH publications / Afghanistan health sector documents / Afghan hospitals and Afghan medical-faculty material,Canonical عضله + the ordinary word قلبی.,Ch10,AFGHAN STANDARD,MEDIUM
عضله صاف,Smooth muscle,,,عضله صاف (Smooth muscle),,,Afghan institutional usage: MoPH publications / Afghanistan health sector documents / Afghan hospitals and Afghan medical-faculty material,Canonical عضله + the ordinary word صاف (already used in Ch2 for smooth ER).,Ch10,AFGHAN STANDARD,MEDIUM
مخطط,Striated,,,مخطط (Striated),,,Afghan institutional usage: MoPH publications / Afghanistan health sector documents / Afghan hospitals and Afghan medical-faculty material,Ordinary Dari word for the striated appearance of skeletal and cardiac muscle; already used in Ch2 in the same sense.,Ch10,AFGHAN STANDARD,MEDIUM
املس,Non-striated,,,املس (Non-striated),,,Afghan institutional usage: MoPH publications / Afghanistan health sector documents / Afghan hospitals and Afghan medical-faculty material,Established Dari descriptor for smooth muscle (عضلهٔ املس); not a construction.,Ch10,AFGHAN STANDARD,MEDIUM
دیسک میان‌حجروی,Intercalated disc,,,دیسک میان‌حجروی (Intercalated disc),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Composed of دیسک + میان‌حجروی (already canonical in Ch4). The junctional complex joining adjacent cardiac muscle cells.,Ch10,AFGHAN STANDARD,MEDIUM
مایوگلوبین,Myoglobin,,,مایوگلوبین (Myoglobin),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; the oxygen-binding protein of muscle.,Ch10,COMMON AFGHAN TRANSLITERATION,MEDIUM
استیل‌کولین,Acetylcholine,,,استیل‌کولین (Acetylcholine),ACh,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; the neurotransmitter at the neuromuscular junction.,Ch10,COMMON AFGHAN TRANSLITERATION,MEDIUM
صفحهٔ محرکهٔ عصبی-عضلانی,Neuromuscular junction,,,صفحهٔ محرکهٔ عصبی-عضلانی (Neuromuscular junction),,,Afghan institutional usage: MoPH publications / Afghanistan health sector documents / Afghan hospitals and Afghan medical-faculty material,Composed of established Dari terms: صفحه (as in صفحهٔ اپی‌فیز) + محرکهٔ عصبی-عضلانی.,Ch10,AFGHAN STANDARD,MEDIUM
واحدِ محرکهٔ عضلانی,Motor unit,,,واحدِ محرکهٔ عضلانی (Motor unit),,,Afghan institutional usage: MoPH publications / Afghanistan health sector documents / Afghan hospitals and Afghan medical-faculty material,Composed of ordinary Dari words. One motor neuron and all the muscle fibers it innervates.,Ch10,AFGHAN STANDARD,MEDIUM
عضلهٔ دوکی,Spindle (muscle shape),,,عضلهٔ دوکی (Spindle (muscle shape)),,,Afghan institutional usage: MoPH publications / Afghanistan health sector documents / Afghan hospitals and Afghan medical-faculty material,Ordinary Dari descriptor for the spindle or fusiform shape of smooth muscle cells.,Ch10,AFGHAN STANDARD,MEDIUM
دیستروفی عضلانی,Muscular dystrophy,,,دیستروفی عضلانی (Muscular dystrophy),,,Afghan institutional usage: MoPH publications / Afghanistan health sector documents / Afghan hospitals and Afghan medical-faculty material,Canonical عضلانی + the established transliteration دیستروفی.,Ch10,AFGHAN STANDARD,MEDIUM
میاستنی گراو,Myasthenia gravis,,,میاستنی گراو (Myasthenia gravis),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration.,Ch10,COMMON AFGHAN TRANSLITERATION,MEDIUM
مایوپاتی,Myopathy,,,مایوپاتی (Myopathy),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration.,Ch10,COMMON AFGHAN TRANSLITERATION,MEDIUM
رگور مورتیس,Rigor mortis,,,رگور مورتیس (Rigor mortis),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration.,Ch10,COMMON AFGHAN TRANSLITERATION,MEDIUM
نیوروگلیا,Neuroglia (glial cells),,,نیوروگلیا (Neuroglia (glial cells)),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; the non-excitable supporting cells of nervous tissue.,Ch11,COMMON AFGHAN TRANSLITERATION,MEDIUM
آکسون,Axon,,,آکسون (Axon),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; the single long process that conducts impulses away from the cell body.,Ch11,COMMON AFGHAN TRANSLITERATION,MEDIUM
دندریت,Dendrite,,,دندریت (Dendrite),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; the branched processes that receive impulses.,Ch11,COMMON AFGHAN TRANSLITERATION,MEDIUM
میلین,Myelin,,,میلین (Myelin),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; the lipid-rich insulating sheath around axons.,Ch11,COMMON AFGHAN TRANSLITERATION,MEDIUM
غلافِ میلین,Myelin sheath,,,غلافِ میلین (Myelin sheath),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Composed of the canonical غلاف + the established transliteration میلین.,Ch11,COMMON AFGHAN TRANSLITERATION,MEDIUM
حجرهٔ شوان,Schwann cell,,,حجرهٔ شوان (Schwann cell),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Composed of canonical حجرهٔ + the established name شوان. Myelin-forming cell of the peripheral nervous system.,Ch11,COMMON AFGHAN TRANSLITERATION,MEDIUM
الیگودندروسیت,Oligodendrocyte,,,الیگودندروسیت (Oligodendrocyte),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; the myelin-forming cell of the central nervous system.,Ch11,COMMON AFGHAN TRANSLITERATION,MEDIUM
آستروسیت,Astrocyte,,,آستروسیت (Astrocyte),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; the largest and most numerous glial cell; forms the blood-brain barrier framework and a repair scar.,Ch11,COMMON AFGHAN TRANSLITERATION,MEDIUM
میکروگلیا,Microglia,,,میکروگلیا (Microglia),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; the small phagocytic glial cell of monocytic origin.,Ch11,COMMON AFGHAN TRANSLITERATION,MEDIUM
اپندیم,Ependyma,,,اپندیم (Ependyma),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Transliteration; the ciliated epithelial lining of the brain ventricles and central canal.,Ch11,COMMON AFGHAN TRANSLITERATION,MEDIUM
